t(s)	I(mA)	V(V)
0.05	175.130394883	5.09544780383
0.1	175.130394883	5.07797299797
0.15	175.130394883	5.07797299797
0.2	175.130394883	5.07797299797
0.25	175.130394883	5.07797299797
0.3	175.130394883	5.09544780383
0.35	175.130394883	5.07797299797
0.4	175.130394883	5.09544780383
0.45	174.101728834	5.07797299797
0.5	175.130394883	5.07797299797
0.55	175.130394883	5.09544780383
0.6	175.130394883	5.07797299797
0.65	174.616061859	5.07797299797
0.7	170.40496022	4.89397357152
0.75	169.376294171	4.82613020758
0.8	169.890627195	4.80968333148
0.85	167.801149283	4.72539309143
0.9	165.679525556	4.64110285138
0.95	164.104380668	4.55784054109
1	161.500569731	4.40673486686
1.05	160.954090892	4.35636630878
1.1	160.954090892	4.30599775071
1.15	160.439757868	4.30599775071
1.2	160.439757868	4.27207606874
1.25	159.925424843	4.27207606874
1.3	159.925424843	4.30599775071
1.35	159.925424843	4.27207606874
1.4	158.350279955	4.22170751066
1.45	156.775135067	4.13741727061
1.5	155.714323204	4.08704871254
1.55	154.653511341	4.05312703057
1.6	155.714323204	4.02023327835
1.65	154.139178316	4.00275847249
1.7	153.624845291	3.98631159638
1.75	153.624845291	3.96986472027
1.8	153.624845291	3.96986472027
1.85	154.653511341	4.00275847249
1.9	154.653511341	3.96986472027
1.95	154.139178316	3.96986472027
2	153.624845291	3.95238991441
2.05	153.624845291	3.96986472027
2.1	154.653511341	3.98631159638
2.15	154.139178316	3.96986472027
2.2	153.078366453	3.9359430383
2.25	152.049700404	3.90202135633
2.3	149.928076677	3.81875904604
2.35	150.98888854	3.83520592215
2.4	150.474555516	3.80128424018
2.45	149.928076677	3.80128424018
2.5	149.928076677	3.78483736407
2.55	149.928076677	3.78483736407
2.6	149.928076677	3.78483736407
2.65	147.838598765	3.734468806
2.7	146.777786901	3.70054712403
2.75	146.263453877	3.66662544206
2.8	146.777786901	3.68410024792
2.85	146.263453877	3.68410024792
2.9	146.263453877	3.66662544206
2.95	146.263453877	3.65017856595
3	145.749120852	3.63373168984
3.05	144.173975964	3.58336313177
3.1	144.173975964	3.58336313177
3.15	144.173975964	3.5658883259
3.2	143.627497125	3.53299457369
3.25	142.052352238	3.49907289172
3.3	142.052352238	3.48262601561
3.35	142.598831076	3.46515120975
3.4	143.113164101	3.48262601561
3.45	141.023686188	3.41478265167
3.5	140.47720735	3.39833577556
3.55	140.47720735	3.36441409359
3.6	138.902062462	3.31404553552
3.65	138.387729437	3.31404553552
3.7	137.873396412	3.28012385355
3.75	137.873396412	3.24723010133
3.8	137.873396412	3.22975529547
3.85	137.326917574	3.22975529547
3.9	137.873396412	3.24723010133
3.95	137.326917574	3.22975529547
4	135.751772686	3.17938673739
4.05	135.237439661	3.14649298518
4.1	134.723106637	3.12901817932
4.15	133.662294773	3.14649298518
4.2	133.147961749	3.07864962124
4.25	132.087149885	3.02828106316
4.3	130.512004998	2.96146562898
4.35	129.451193134	2.92754394701
4.4	128.93686011	2.92754394701
4.45	129.451193134	2.89465019479
4.5	128.93686011	2.86072851282
4.55	127.361715222	2.81035995475
4.6	127.361715222	2.81035995475
4.65	127.361715222	2.82680683085
4.7	126.847382197	2.79288514888
4.75	123.697092421	2.70962283859
4.8	121.06113567	2.60888572244
4.85	115.274889143	2.44030524234
4.9	115.274889143	2.40741149013
4.95	116.335701006	2.37348980816
5	116.335701006	2.37348980816
5.05	116.850034031	2.3560150023
5.1	115.274889143	2.33956812619
5.15	114.760556119	2.33956812619
5.2	114.246223094	2.25527788614
5.25	113.185411231	2.22238413393
5.3	113.699744255	2.22238413393
5.35	113.185411231	2.22238413393
5.4	113.699744255	2.22238413393
5.45	113.699744255	2.20490932807
5.5	111.610266343	2.15454076999
5.55	110.549454479	2.13809389388
5.6	110.549454479	2.13809389388
5.65	110.549454479	2.13809389388
5.7	110.035121455	2.0877253358
5.75	108.459976567	2.05380365383
5.8	107.945643542	2.02090990162
5.85	108.459976567	2.02090990162
5.9	105.309686791	2.00343509576
5.95	100.069919103	1.83588254542
6	95.8588174637	1.7176706234
6.05	95.8588174637	1.65085518922
6.1	94.2836725758	1.61693350725
6.15	89.0439048875	1.53367119696
6.2	85.347136273	1.39901239883
6.25	83.2576583605	1.33116903489
6.3	82.7433253359	1.28080047682
6.35	81.168180448	1.23043191874
6.4	78.5322236968	1.19753816653
6.45	75.8962669456	1.12969480258
6.5	69.0813543694	0.99503600446
6.55	61.7199629545	0.861405136093
6.6	56.4801952662	0.743193214075
6.65	43.879036163	0.592087539844
6.7	23.4021526203	0.306323067489
6.75	17.1015730686	0.223060757198
6.8	11.3153265417	0.155217393258
6.85	8.16503676586	0.138770517151
6.9	5.52908001468	0.104848835181
6.95	2.37879023887	0.0709271532105
7	2.92526907753	0.0709271532105
7.05	1.86445721425	0.0544802771037
7.1	2.92526907753	0.088401959074
7.15	2.92526907753	0.0709271532105
7.2	2.37879023887	0.0709271532105
7.25	2.92526907753	0.0709271532105
7.3	2.92526907753	0.0709271532105
7.35	3.43960210215	0.088401959074
7.4	2.92526907753	0.0709271532105
7.45	2.92526907753	0.0709271532105
7.5	2.92526907753	0.0709271532105
