t(s)	I(mA)	V(V)
0.05	66.9918764569	5.04507924576
0.1	66.9918764569	5.04507924576
0.15	67.5062094815	5.04507924576
0.2	66.9918764569	5.04507924576
0.25	67.5062094815	5.04507924576
0.3	67.5062094815	5.07797299797
0.35	68.0205425061	5.06152612186
0.4	68.0205425061	5.04507924576
0.45	66.9918764569	5.04507924576
0.5	66.9918764569	5.04507924576
0.55	67.5062094815	5.02760443989
0.6	67.5062094815	5.04507924576
0.65	66.9918764569	5.04507924576
0.7	66.9918764569	5.04507924576
0.75	68.0205425061	5.07797299797
0.8	68.0205425061	5.04507924576
0.85	67.5062094815	5.04507924576
0.9	66.9918764569	5.04507924576
0.95	67.5062094815	5.04507924576
1	66.4453976182	5.02760443989
1.05	66.4453976182	5.02760443989
1.1	64.8702527303	4.97723588182
1.15	60.1448180666	4.84360501345
1.2	59.1161520174	4.7593147734
1.25	58.0553401541	4.72539309143
1.3	58.0553401541	4.72539309143
1.35	57.5410071295	4.72539309143
1.4	58.0553401541	4.70894621532
1.45	56.9945282908	4.70894621532
1.5	55.4193834029	4.64110285138
1.55	52.2690936271	4.5742874172
1.6	52.2690936271	4.50747198302
1.65	50.6939487392	4.48999717715
1.7	50.6939487392	4.47355030105
1.75	50.1796157146	4.45710342494
1.8	49.66528269	4.42318174297
1.85	49.1188038513	4.42318174297
1.9	49.66528269	4.40673486686
1.95	49.1188038513	4.40673486686
2	49.66528269	4.42318174297
2.05	49.66528269	4.40673486686
2.1	47.0293259388	4.32244462681
2.15	45.4541810509	4.28852294484
2.2	45.4541810509	4.28852294484
2.25	45.4541810509	4.27207606874
2.3	44.9398480263	4.25562919263
2.35	45.4541810509	4.23815438677
2.4	43.879036163	4.22170751066
2.45	43.3647031384	4.18778582869
2.5	42.3038912751	4.13741727061
2.55	40.7287463872	4.10349558864
2.6	40.2144133626	4.08704871254
2.65	39.6679345239	4.07060183643
2.7	39.6679345239	4.03668015446
2.75	38.092789636	4.02023327835
2.8	36.5176447481	3.95238991441
2.85	34.4281668356	3.9194961622
2.9	34.4281668356	3.88557448023
2.95	33.3673549723	3.83520592215
3	32.338688923	3.81875904604
3.05	30.7635440351	3.7509156821
3.1	29.7027321719	3.71699400013
3.15	28.6419203086	3.68410024792
3.2	28.127587284	3.65017856595
3.25	27.6132542593	3.65017856595
3.3	28.6419203086	3.66662544206
3.35	27.6132542593	3.63373168984
3.4	25.4916305328	3.5658883259
3.45	23.9164856449	3.51551976783
3.5	23.9164856449	3.49907289172
3.55	22.8878195956	3.48262601561
3.6	21.3126747077	3.41478265167
3.65	17.6159060933	3.31404553552
3.7	17.6159060933	3.28012385355
3.75	16.587240044	3.24723010133
3.8	16.0407612054	3.22975529547
3.85	16.0407612054	3.22975529547
3.9	15.5264281807	3.21330841936
3.95	15.0120951561	3.19686154326
4	14.4656163175	3.17938673739
4.05	11.8296595663	3.0961244271
4.1	10.800993517	3.02828106316
4.15	10.2545146784	2.99538731095
4.2	9.74018165376	2.97791250508
4.25	9.74018165376	2.99538731095
4.3	9.74018165376	2.97791250508
4.35	9.74018165376	2.97791250508
4.4	9.74018165376	2.97791250508
4.45	9.74018165376	2.99538731095
4.5	9.74018165376	2.99538731095
4.55	9.74018165376	2.97791250508
4.6	9.74018165376	2.97791250508
4.65	9.74018165376	2.97791250508
4.7	9.74018165376	2.96146562898
4.75	8.67936979048	2.96146562898
4.8	7.65070374124	2.89465019479
4.85	6.58989187796	2.87717538893
4.9	7.10422490258	2.82680683085
4.95	6.07555885334	2.81035995475
5	5.52908001468	2.79288514888
5.05	6.07555885334	2.79288514888
5.1	5.52908001468	2.77643827278
5.15	5.52908001468	2.79288514888
5.2	5.52908001468	2.77643827278
5.25	5.01474699005	2.74251659081
5.3	5.01474699005	2.67570115662
5.35	4.50041396543	2.65925428052
5.4	4.50041396543	2.60888572244
5.45	3.95393512677	2.5410423585
5.5	4.50041396543	2.52459548239
5.55	3.95393512677	2.52459548239
5.6	3.95393512677	2.5410423585
5.65	5.01474699005	2.5410423585
5.7	5.01474699005	2.52459548239
5.75	4.50041396543	2.49067380042
5.8	4.50041396543	2.49067380042
5.85	3.43960210215	2.45778004821
5.9	3.95393512677	2.38993668427
5.95	3.95393512677	2.3560150023
6	3.95393512677	2.32312125008
6.05	5.01474699005	2.27275269201
6.1	5.01474699005	2.20490932807
6.15	5.01474699005	2.12164701778
6.2	4.50041396543	2.03735677773
6.25	5.01474699005	1.98698821965
6.3	4.50041396543	1.95306653768
6.35	3.95393512677	1.9026979796
6.4	4.50041396543	1.85232942153
6.45	5.01474699005	1.75159230537
6.5	5.01474699005	1.65085518922
6.55	5.01474699005	1.60048663114
6.6	5.01474699005	1.51619639109
6.65	5.01474699005	1.49974951499
6.7	4.50041396543	1.39901239883
6.75	5.01474699005	1.29827528268
6.8	5.01474699005	1.21398504263
6.85	5.52908001468	1.19753816653
6.9	5.52908001468	1.14716960845
6.95	5.01474699005	1.11324792648
7	5.01474699005	1.07932624451
7.05	5.01474699005	1.04643249229
7.1	4.50041396543	1.01251081032
7.15	5.01474699005	0.928220570277
7.2	5.01474699005	0.827483454123
7.25	5.52908001468	0.793561772152
7.3	5.52908001468	0.777114896046
7.35	4.50041396543	0.743193214075
7.4	5.01474699005	0.710299461862
7.45	5.01474699005	0.659930903785
7.5	5.01474699005	0.609562345708
