t(s)	I(mA)	V(V)
0.05	482.315793838	4.91042044763
0.1	481.769315	4.89397357152
0.15	482.315793838	4.87649876566
0.2	481.769315	4.89397357152
0.25	482.830126863	4.91042044763
0.3	481.769315	4.89397357152
0.35	482.315793838	4.89397357152
0.4	481.769315	4.89397357152
0.45	481.769315	4.91042044763
0.5	482.315793838	4.91042044763
0.55	481.769315	4.89397357152
0.6	481.769315	4.89397357152
0.65	481.769315	4.89397357152
0.7	482.830126863	4.91042044763
0.75	482.315793838	4.89397357152
0.8	481.769315	4.89397357152
0.85	482.315793838	4.89397357152
0.9	482.315793838	4.91042044763
0.95	482.315793838	4.91042044763
1	482.315793838	4.89397357152
1.05	481.769315	4.89397357152
1.1	482.315793838	4.91042044763
1.15	482.315793838	4.91042044763
1.2	482.830126863	4.89397357152
1.25	482.315793838	4.87649876566
1.3	482.315793838	4.89397357152
1.35	482.830126863	4.91042044763
1.4	482.315793838	4.89397357152
1.45	482.315793838	4.87649876566
1.5	482.315793838	4.89397357152
1.55	483.344459888	4.91042044763
1.6	482.315793838	4.89397357152
1.65	482.315793838	4.89397357152
1.7	482.315793838	4.89397357152
1.75	482.315793838	4.91042044763
1.8	482.830126863	4.89397357152
1.85	482.315793838	4.89397357152
1.9	482.315793838	4.89397357152
1.95	483.344459888	4.89397357152
2	483.344459888	4.89397357152
2.05	482.315793838	4.89397357152
2.1	482.830126863	4.89397357152
2.15	482.315793838	4.89397357152
2.2	483.344459888	4.91042044763
2.25	478.104692199	4.84360501345
2.3	460.778098432	4.67502453335
2.35	454.477518881	4.60820909917
2.4	454.477518881	4.62465597528
2.45	455.538330744	4.62465597528
2.5	454.991851905	4.59073429331
2.55	454.991851905	4.59073429331
2.6	454.477518881	4.59073429331
2.65	454.991851905	4.62465597528
2.7	451.327229105	4.5742874172
2.75	437.665258138	4.40673486686
2.8	429.789533699	4.32244462681
2.85	424.549766011	4.28852294484
2.9	415.613229708	4.18778582869
2.95	409.859128995	4.13741727061
3	404.072882468	4.08704871254
3.05	399.347447804	4.02023327835
3.1	398.286635941	4.02023327835
3.15	393.561201277	3.96986472027
3.2	391.986056389	3.95238991441
3.25	389.896578477	3.9359430383
3.3	385.171143813	3.90202135633
3.35	383.595998925	3.86912760412
3.4	373.084317734	3.76839048797
3.45	367.330217022	3.70054712403
3.5	366.783738183	3.70054712403
3.55	361.02963747	3.65017856595
3.6	357.332868855	3.59981000787
3.65	352.607434192	3.5494414498
3.7	348.428478367	3.53299457369
3.75	346.30685464	3.51551976783
3.8	345.792521616	3.48262601561
3.85	345.278188591	3.48262601561
3.9	340.552753927	3.43225745753
3.95	334.252174376	3.39833577556
4	330.041072736	3.34796721749
4.05	324.801305048	3.28012385355
4.1	320.075870384	3.22975529547
4.15	315.350435721	3.17938673739
4.2	310.078522218	3.14649298518
4.25	305.353087555	3.0961244271
4.3	295.387885203	2.97791250508
4.35	288.572972626	2.92754394701
4.4	281.725914236	2.86072851282
4.45	276.486146548	2.81035995475
4.5	269.639088158	2.74251659081
4.55	253.373306254	2.57496404047
4.6	245.497581814	2.49067380042
4.65	242.347292039	2.47422692431
4.7	236.046712487	2.40741149013
4.75	234.471567599	2.38993668427
4.8	230.26046596	2.33956812619
4.85	230.26046596	2.33956812619
4.9	223.959886408	2.25527788614
4.95	216.084161969	2.17201557585
5	207.17977148	2.0877253358
5.05	201.393524953	2.03735677773
5.1	198.243235177	2.00343509576
5.15	195.607278426	1.98698821965
5.2	190.367510738	1.91914485571
5.25	187.731553987	1.91914485571
5.3	184.581264211	1.86877629763
5.35	179.341496523	1.80196086345
5.4	168.829815332	1.7012237473
5.45	160.439757868	1.63440831311
5.5	156.228656229	1.58403975503
5.55	149.413743652	1.49974951499
5.6	138.902062462	1.39901239883
5.65	131.572816861	1.33116903489
5.7	127.361715222	1.29827528268
5.75	119.485990782	1.19753816653
5.8	114.760556119	1.14716960845
5.85	114.246223094	1.14716960845
5.9	113.699744255	1.14716960845
5.95	110.035121455	1.09680105037
6	104.248874928	1.04643249229
6.05	102.159397015	1.02895768643
6.1	96.919629327	0.99503600446
6.15	95.3444844391	0.962142252247
6.2	95.3444844391	0.962142252247
6.25	94.2836725758	0.962142252247
6.3	94.2836725758	0.962142252247
6.35	91.1333828	0.928220570277
6.4	87.4687599996	0.8778520122
6.45	77.4714118335	0.793561772152
6.5	74.8676008964	0.793561772152
6.55	65.9310645936	0.659930903785
6.6	61.7199629545	0.626009221814
6.65	57.5410071295	0.575640663737
6.7	49.1188038513	0.52527210566
6.75	38.6392684747	0.390613307536
6.8	28.127587284	0.273429315275
6.85	26.5524423961	0.255954509412
6.9	21.8270077324	0.255954509412
6.95	20.2518628445	0.189139075228
7	18.6767179566	0.189139075228
7.05	17.6159060933	0.172692199121
7.1	17.1015730686	0.189139075228
7.15	15.5264281807	0.138770517151
7.2	13.9512832928	0.138770517151
7.25	12.8904714296	0.121295711288
7.3	12.3761384049	0.138770517151
7.35	11.3153265417	0.104848835181
7.4	10.800993517	0.104848835181
7.45	8.67936979048	0.0709271532105
7.5	8.67936979048	0.121295711288
