t,θ
0.000000000e0,1.702794275e2
1.001000000e-1,1.682822750e2
2.002000000e-1,1.686301361e2
3.003000000e-1,1.670995441e2
4.004000000e-1,1.641584658e2
5.005000000e-1,1.637825211e2
6.006000000e-1,1.630450209e2
7.007000000e-1,1.620672295e2
8.008000000e-1,1.608335549e2
9.009000000e-1,1.620715174e2
1.001000000e0,1.607798455e2
1.101211000e0,1.596276015e2
1.201311000e0,1.604984491e2
1.301411000e0,1.610191021e2
1.401511000e0,1.606933176e2
1.501611000e0,1.594017414e2
1.601711000e0,1.591416594e2
1.701811000e0,1.577352842e2
1.801911000e0,1.585211686e2
1.902011000e0,1.588832743e2
2.002111000e0,1.583260665e2
2.102211000e0,1.578300107e2
2.202311000e0,1.579023371e2
2.302411000e0,1.573416869e2
2.402511000e0,1.576049932e2
2.502611000e0,1.584336047e2
2.602822000e0,1.578889773e2
2.702934000e0,1.563437231e2
2.803034000e0,1.555878802e2
2.903134000e0,1.543265999e2
3.003234000e0,1.538118313e2
3.103334000e0,1.514698433e2
3.203434000e0,1.512457048e2
3.303534000e0,1.507889337e2
3.403634000e0,1.504220520e2
3.503734000e0,1.501319017e2
3.603834000e0,1.497376671e2
3.703934000e0,1.484880351e2
3.804034000e0,1.475109252e2
3.904134000e0,1.461304020e2
4.004234000e0,1.449237636e2
4.104334000e0,1.465251430e2
4.204434000e0,1.454205737e2
4.304534000e0,1.457447910e2
4.404634000e0,1.440095144e2
4.504734000e0,1.429847178e2
4.604945000e0,1.443607247e2
4.705056000e0,1.428898549e2
4.805167000e0,1.436961049e2
4.905267000e0,1.424453762e2
5.005367000e0,1.413081443e2
5.105467000e0,1.408747218e2
5.205567000e0,1.389967332e2
5.305667000e0,1.402799725e2
5.405767000e0,1.387618390e2
5.505867000e0,1.395948030e2
5.605967000e0,1.386474834e2
5.706067000e0,1.375400426e2
5.806167000e0,1.364035647e2
5.906267000e0,1.349386954e2
6.006367000e0,1.346119379e2
6.106467000e0,1.340752302e2
6.206567000e0,1.331158385e2
6.306667000e0,1.332142050e2
6.406767000e0,1.335042434e2
6.506867000e0,1.318119574e2
6.607078000e0,1.322496669e2
6.707189000e0,1.323981603e2
6.807289000e0,1.305435910e2
6.907389000e0,1.303073744e2
7.007489000e0,1.289542649e2
7.107589000e0,1.283139875e2
7.207689000e0,1.283139875e2
7.307789000e0,1.284469909e2
7.407889000e0,1.272844978e2
7.507989000e0,1.275594935e2
7.608089000e0,1.281064779e2
7.708189000e0,1.262166268e2
7.808289000e0,1.259852852e2
7.908389000e0,1.258954026e2
8.008489000e0,1.256064416e2
8.108589000e0,1.258546295e2
8.208689000e0,1.258546295e2
8.308789000e0,1.251188946e2
8.408889000e0,1.245327331e2
8.509100000e0,1.242827500e2
8.609200000e0,1.247036279e2
8.709300000e0,1.230835170e2
8.809400000e0,1.238338747e2
8.909500000e0,1.239584980e2
9.009600000e0,1.239584980e2
9.109700000e0,1.256636276e2
9.209800000e0,1.251831723e2
9.309900000e0,1.247038283e2
9.410000000e0,1.213075375e2
9.510100000e0,1.234196680e2
9.610200000e0,1.220966010e2
9.710300000e0,1.229610526e2
9.810400000e0,1.250369050e2
9.910500000e0,1.231767636e2
1.001060000e1,1.220608635e2
1.011070000e1,1.224903378e2
1.021080000e1,1.217573843e2
1.031090000e1,1.213604506e2
1.041100000e1,1.203169650e2
1.051110000e1,1.204903951e2
1.061120000e1,1.197051840e2
1.071130000e1,1.192413388e2
1.081140000e1,1.190204659e2
1.091150000e1,1.191980322e2
1.101171100e1,1.172906398e2
1.111181100e1,1.158060994e2
1.121191100e1,1.164698302e2
1.131201100e1,1.140074771e2
1.141211100e1,1.160545841e2
1.151221100e1,1.164527202e2
1.161231100e1,1.160749047e2
1.171241100e1,1.150903028e2
1.181251100e1,1.136377421e2
1.191261100e1,1.136377421e2
1.201271100e1,1.127463562e2
1.211281100e1,1.131887881e2
1.221291100e1,1.112676102e2
1.231301100e1,1.142303958e2
1.241311100e1,1.116029492e2
1.251321100e1,1.093607564e2
1.261331100e1,1.093607564e2
1.271341100e1,1.094370841e2
1.281362200e1,1.091069014e2
1.291372200e1,1.081262365e2
1.301382200e1,1.066622809e2
1.311392200e1,1.064585644e2
1.321402200e1,1.062798697e2
1.331412200e1,1.060402263e2
1.341422200e1,1.048559442e2
1.351432200e1,1.036489520e2
1.361442200e1,1.054740479e2
1.371452200e1,1.038433933e2
1.381462200e1,1.045734511e2
1.391472200e1,1.040178542e2
1.401482200e1,1.038015890e2
1.411492200e1,1.033915203e2
1.421502200e1,1.019589698e2
1.431512200e1,1.011017217e2
1.441522200e1,1.009266849e2
1.451543400e1,1.000312434e2
1.461553400e1,9.913601252e1
1.471563400e1,9.926867819e1
1.481573400e1,9.931740602e1
1.491583400e1,9.869627244e1
1.501593400e1,9.885409222e1
1.511603400e1,9.903219017e1
1.521613400e1,9.681502810e1
1.531623400e1,9.641978482e1
1.541633400e1,9.592024229e1
1.551643400e1,9.604707550e1
1.561653400e1,9.525590241e1
1.571663400e1,9.365288839e1
1.581673400e1,9.509112255e1
1.591683400e1,9.370681275e1
1.601693400e1,9.365509887e1
1.611703400e1,9.278798949e1
1.621713400e1,9.300070017e1
1.631723400e1,9.273502722e1
1.641733400e1,9.273502722e1
1.651743400e1,9.179046427e1
1.661753400e1,9.137281725e1
1.671774500e1,9.133684346e1
1.681785600e1,9.009576764e1
1.691796700e1,9.111629944e1
1.701806700e1,8.982658069e1
1.711816700e1,9.099505347e1
