t(s)	I(mA)	V(V)
0.05	704.411223033	5.11189467994
0.1	704.411223033	5.11189467994
0.15	704.411223033	5.11189467994
0.2	704.925556057	5.1293694858
0.25	704.925556057	5.1293694858
0.3	704.411223033	5.1293694858
0.35	704.411223033	5.11189467994
0.4	704.411223033	5.11189467994
0.45	704.411223033	5.11189467994
0.5	704.925556057	5.11189467994
0.55	704.925556057	5.11189467994
0.6	704.925556057	5.11189467994
0.65	704.925556057	5.1293694858
0.7	704.925556057	5.1293694858
0.75	704.925556057	5.14581636191
0.8	704.411223033	5.1293694858
0.85	704.925556057	5.11189467994
0.9	704.925556057	5.11189467994
0.95	704.411223033	5.11189467994
1	704.925556057	5.11189467994
1.05	704.411223033	5.1293694858
1.1	704.411223033	5.11189467994
1.15	704.925556057	5.1293694858
1.2	705.472034896	5.1293694858
1.25	705.98636792	5.1293694858
1.3	705.98636792	5.1293694858
1.35	704.925556057	5.14581636191
1.4	704.925556057	5.11189467994
1.45	704.411223033	5.11189467994
1.5	704.925556057	5.11189467994
1.55	705.98636792	5.11189467994
1.6	704.925556057	5.11189467994
1.65	705.472034896	5.11189467994
1.7	704.925556057	5.11189467994
1.75	705.98636792	5.1293694858
1.8	706.500700945	5.1293694858
1.85	677.633759938	4.96078900571
1.9	645.616529156	4.69249933922
1.95	635.104847965	4.62465597528
2	624.593166774	4.55784054109
2.05	611.992007671	4.42318174297
2.1	606.237906958	4.40673486686
2.15	599.937327406	4.35636630878
2.2	593.636747855	4.30599775071
2.25	576.310154088	4.18778582869
2.3	550.561357043	4.00275847249
2.35	550.561357043	4.00275847249
2.4	549.500545179	4.00275847249
2.45	549.500545179	3.98631159638
2.5	536.385053052	3.90202135633
2.55	522.208749061	3.78483736407
2.6	516.968981372	3.7509156821
2.65	504.882155294	3.66662544206
2.7	492.28099619	3.5658883259
2.75	485.980416639	3.53299457369
2.8	477.590359175	3.48262601561
2.85	473.379257536	3.44870433364
2.9	467.593011009	3.41478265167
2.95	452.388040968	3.29759865941
3	433.486302313	3.16293986129
3.05	424.035432986	3.0961244271
3.1	421.399476235	3.07864962124
3.15	410.373462019	3.02828106316
3.2	405.133694331	2.97791250508
3.25	400.922592692	2.94501875287
3.3	396.711491053	2.9110970709
3.35	383.595998925	2.82680683085
3.4	368.358883071	2.74251659081
3.45	364.179927246	2.69214803273
3.5	355.757723968	2.60888572244
3.55	336.855985313	2.50814860628
3.6	324.801305048	2.40741149013
3.65	316.37910177	2.33956812619
3.7	306.413899418	2.25527788614
3.75	290.662450539	2.15454076999
3.8	276.486146548	2.03735677773
3.85	272.275044909	2.02090990162
3.9	250.737349503	1.86877629763
3.95	231.321277823	1.73514542927
4	219.234451745	1.63440831311
4.05	213.480351032	1.61693350725
4.1	196.668090289	1.48330263888
4.15	186.702887937	1.41545927494
4.2	181.977453274	1.38153759297
4.25	180.91664141	1.36509071686
4.3	174.616061859	1.33116903489
4.35	170.40496022	1.31472215879
4.4	159.925424843	1.23043191874
4.45	143.113164101	1.14716960845
4.5	137.873396412	1.0628793684
4.55	135.237439661	1.0628793684
4.6	127.876048246	0.99503600446
4.65	116.335701006	0.91177369417
4.7	109.52078843	0.8778520122
4.75	104.795353767	0.843930330229
4.8	92.7085276879	0.760668019939
4.85	48.6044708267	0.45742874172
4.9	32.8530219477	0.340244749459
4.95	30.2170651965	0.323797873352
5	28.6419203086	0.289876191382
5.05	25.4916305328	0.273429315275
5.1	22.8878195956	0.255954509412
5.15	20.7661958691	0.239507633305
5.2	19.7375298198	0.255954509412
5.25	19.1910509812	0.239507633305
5.3	11.8296595663	0.189139075228
5.35	10.2545146784	0.189139075228
5.4	9.22584862914	0.189139075228
5.45	8.16503676586	0.155217393258
5.5	7.65070374124	0.155217393258
5.55	7.10422490258	0.155217393258
5.6	8.67936979048	0.155217393258
5.65	7.65070374124	0.155217393258
5.7	7.65070374124	0.155217393258
5.75	8.16503676586	0.155217393258
5.8	8.67936979048	0.155217393258
5.85	8.67936979048	0.172692199121
5.9	7.65070374124	0.172692199121
5.95	7.65070374124	0.155217393258
6	7.10422490258	0.155217393258
6.05	7.65070374124	0.138770517151
6.1	7.65070374124	0.155217393258
6.15	7.65070374124	0.155217393258
6.2	8.16503676586	0.155217393258
6.25	8.16503676586	0.155217393258
6.3	8.16503676586	0.189139075228
6.35	7.65070374124	0.155217393258
6.4	7.65070374124	0.155217393258
6.45	7.10422490258	0.138770517151
6.5	8.67936979048	0.155217393258
6.55	8.16503676586	0.155217393258
6.6	7.10422490258	0.155217393258
6.65	7.65070374124	0.155217393258
6.7	8.67936979048	0.155217393258
6.75	8.16503676586	0.189139075228
6.8	7.65070374124	0.172692199121
6.85	7.65070374124	0.155217393258
6.9	7.10422490258	0.155217393258
6.95	7.65070374124	0.138770517151
7	7.65070374124	0.155217393258
7.05	7.65070374124	0.155217393258
7.1	7.65070374124	0.155217393258
7.15	7.65070374124	0.155217393258
7.2	7.65070374124	0.172692199121
7.25	7.65070374124	0.189139075228
7.3	7.65070374124	0.155217393258
7.35	7.10422490258	0.155217393258
7.4	7.10422490258	0.155217393258
7.45	7.10422490258	0.138770517151
7.5	7.65070374124	0.155217393258
