Corriente 1: Tiempo (s);Corriente 1: Corriente (mA);Corriente 1: Voltaje (V);Corriente 1: Temperatura (°C);Corriente 1: Potencia (mW);Corriente 2: Tiempo (s);Corriente 2: Corriente (mA);Corriente 2: Voltaje (V);Corriente 2: Temperatura (°C);Corriente 2: Potencia (mW)
0;797,3769172;3,346939288;15,94899015;2668,772131;0;597,9442869;2,519455834;17,234203;1506,494222
0,5;797,5055005;3,347967217;15,95050736;2670,022271;0,5;598,0085786;2,515344115;17,234203;1504,197359
1;797,4412089;3,350023077;15,96112721;2671,446452;1;597,9442869;2,516372044;17,23720333;1504,650288
1,5;797,4412089;3,348995147;15,97326289;2670,626739;1,5;597,8799953;2,516372044;17,23270281;1504,488506
2;797,5055005;3,347967217;15,97326289;2670,022271;2;597,9121411;2,516372044;17,22670186;1504,569397
2,5;797,5376463;3,351051007;15,97326289;2672,589333;2,5;598,0407244;2,517399974;17,23570317;1505,507704
3;797,6019379;3,351051007;15,98084699;2672,804777;3;597,9121411;2,515344115;17,234203;1503,954785
3,5;797,5376463;3,348995147;15,99146381;2670,949707;3,5;597,9442869;2,515344115;17,23570317;1504,035643
4;797,5055005;3,348995147;16,00207958;2670,842051;4;597,9442869;2,514316185;17,23870346;1503,420998
4,5;797,6340837;3,350023077;16,00511247;2672,092588;4,5;597,9442869;2,515344115;17,24020358;1504,035643
5;797,6019379;3,350023077;16,00207958;2671,984898;5;597,9121411;2,516372044;17,24470382;1504,569397
5,5;797,6019379;3,344883428;16,0142106;2667,885505;5,5;597,9121411;2,517399974;17,24620387;1505,184009
6;797,5697921;3,345911358;16,0142106;2668,597826;6;597,9121411;2,516372044;17,24470382;1504,569397
6,5;797,6662296;3,348995147;16,02330796;2671,380332;6,5;597,8478495;2,516372044;17,24470382;1504,407615
7;797,6662296;3,350023077;16,02179179;2672,200277;7;597,9121411;2,515344115;17,2477039;1503,954785
7,5;797,7305212;3,348995147;16,02634024;2671,595644;7,5;597,8799953;2,516372044;17,24620387;1504,488506
8;797,6662296;3,350023077;16,03392057;2672,200277;8;597,7835579;2,515344115;17,24020358;1503,631354
8,5;797,6662296;3,347967217;16,03543657;2670,560387;8,5;597,8157037;2,516372044;17,24170368;1504,326724
9;797,6340837;3,348995147;16,03998445;2671,272676;9;597,8157037;2,517399974;17,24320376;1504,941237
9,5;797,7305212;3,350023077;16,04907962;2672,415655;9,5;597,9442869;2,517399974;17,2477039;1505,264932
10;797,5697921;3,347967217;16,0505954;2670,237518;10;597,8478495;2,517399974;17,24470382;1505,022161
10,5;797,6019379;3,345911358;16,06120531;2668,705383;10,5;597,8478495;2,515344115;17,25670367;1503,79307
11;797,6662296;3,348995147;16,07332964;2671,380332;11;597,7835579;2,515344115;17,24170368;1503,631354
11,5;797,7305212;3,347967217;16,06878318;2670,775633;11,5;597,7192662;2,515344115;17,25520375;1503,469639
12;797,6983754;3,350023077;16,07181418;2672,307966;12;597,7835579;2,515344115;17,25220386;1503,631354
12,5;797,8912503;3,352078937;16,07636051;2674,594454;12,5;597,8478495;2,515344115;17,2492039;1503,79307
13;797,8269586;3,348995147;16,07939129;2671,918613;13;597,8157037;2,516372044;17,25370382;1504,326724
13,5;797,7948128;3,341799639;16,08545261;2666,070417;13,5;597,8799953;2,517399974;17,25520375;1505,103085
14;797,8591044;3,350023077;16,08696788;2672,846412;14;597,6871204;2,515344115;17,25670367;1503,388781
14,5;797,8269586;3,350023077;16,09454393;2672,738723;14,5;597,8799953;2,516372044;17,25970345;1504,488506
15;797,9233961;3,347967217;16,09605908;2671,421372;15;597,7514121;2,516372044;17,26120331;1504,164943
15,5;797,6983754;3,350023077;16,10060439;2672,307966;15,5;597,7835579;2,516372044;17,25670367;1504,245834
16;797,7305212;3,347967217;16,09605908;2670,775633;16;597,8478495;2,516372044;17,25520375;1504,407615
16,5;797,762667;3,347967217;16,11423918;2670,883256;16,5;597,9442869;2,516372044;17,25670367;1504,650288
17;797,7305212;3,348995147;16,10666451;2671,595644;17;597,9121411;2,516372044;17,25970345;1504,569397
17,5;797,6983754;3,348995147;16,10666451;2671,487988;17,5;597,8157037;2,517399974;17,25670367;1504,941237
18;797,6983754;3,351051007;16,12181332;2673,127944;18;597,7514121;2,514316185;17,25970345;1502,93605
18,5;797,7948128;3,347967217;16,12484283;2670,99088;18,5;597,8478495;2,515344115;17,25520375;1503,79307
19;797,8912503;3,351051007;16,13393084;2673,774277;19;597,9442869;2,516372044;17,26420298;1504,650288
19,5;797,762667;3,348995147;16,13241622;2671,7033;19,5;597,8478495;2,517399974;17,25970345;1505,022161
20;797,6983754;3,348995147;16,13847456;2671,487988;20;597,8478495;2,516372044;17,26270315;1504,407615
20,5;797,762667;3,350023077;16,13998909;2672,523344;20,5;597,8157037;2,515344115;17,26270315;1503,712212
21;797,7948128;3,346939288;16,14907583;2670,170803;21;597,8157037;2,516372044;17,26720257;1504,326724
21,5;797,7948128;3,347967217;16,15513324;2670,99088;21,5;597,8157037;2,516372044;17,26270315;1504,326724
22;797,8269586;3,348995147;16,15361892;2671,918613;22;597,7835579;2,516372044;17,26270315;1504,245834
22,5;797,7948128;3,348995147;16,16876116;2671,810957;22,5;597,7835579;2,516372044;17,26270315;1504,245834
23;797,9876877;3,351051007;16,17633149;2674,097444;23;597,8478495;2,516372044;17,26270315;1504,407615
23,5;797,7948128;3,351051007;16,17633149;2673,451111;23,5;597,8799953;2,515344115;17,26420298;1503,873927
24;797,8269586;3,348995147;16,19147058;2671,918613;24;597,7835579;2,517399974;17,26570278;1504,860313
24,5;797,9233961;3,346939288;16,19298437;2670,601163;24,5;597,7835579;2,515344115;17,26570278;1503,631354
25;797,8591044;3,345911358;16,18238738;2669,56584;25;597,8478495;2,515344115;17,26720257;1503,79307
25,5;797,8269586;3,343855498;16,19903933;2667,818062;25,5;597,7835579;2,517399974;17,27020209;1504,860313
26;797,9555419;3,351051007;16,21114824;2673,989722;26;597,7192662;2,515344115;17,27620092;1503,469639
26,5;797,8912503;3,350023077;16,2096347;2672,954101;26,5;597,6871204;2,514316185;17,27020209;1502,7744
27;797,8591044;3,348995147;16,20812114;2672,026269;27;597,8157037;2,514316185;17,27170183;1503,097699
27,5;798,0198335;3,350023077;16,21417526;2673,384858;27,5;597,8157037;2,515344115;17,27020209;1503,712212
28;797,9555419;3,348995147;16,22325581;2672,349237;28;597,7835579;2,513288255;17,27320154;1502,402395
28,5;798,0841251;3,348995147;16,22174244;2672,779862;28,5;597,8157037;2,516372044;17,27320154;1504,326724
29;797,9876877;3,348995147;16,22930909;2672,456894;29;597,7514121;2,515344115;17,27020209;1503,550496
29,5;797,9555419;3,346939288;16,23384883;2670,708753;29,5;597,7835579;2,515344115;17,27920022;1503,631354
30;797,9876877;3,350023077;16,24141465;2673,277169;30;597,8157037;2,515344115;17,28069984;1503,712212
30,5;798,0841251;3,350023077;16,24444083;2673,600237;30,5;597,7835579;2,516372044;17,27620092;1504,245834
31;797,9876877;3,351051007;16,24141465;2674,097444;31;597,7835579;2,516372044;17,28069984;1504,245834
31,5;798,1805626;3,347967217;16,25049294;2672,282357;31,5;597,7835579;2,516372044;17,28519861;1504,245834
32;798,0841251;3,348995147;16,25654472;2672,779862;32;597,7835579;2,516372044;17,27470124;1504,245834
32,5;798,0198335;3,348995147;16,25351887;2672,56455;32,5;597,7835579;2,516372044;17,27620092;1504,245834
33;798,0841251;3,350023077;16,25654472;2673,600237;33;597,8478495;2,515344115;17,2911967;1503,79307
33,5;798,116271;3,348995147;16,26410897;2672,887518;33,5;597,8478495;2,516372044;17,28219945;1504,407615
34;797,9233961;3,350023077;16,26259616;2673,061791;34;597,8799953;2,515344115;17,29269618;1503,873927
34,5;797,8591044;3,351051007;16,26259616;2673,666555;34,5;597,8478495;2,516372044;17,28069984;1504,407615
35;797,8912503;3,348995147;16,27016;2672,133925;35;597,8157037;2,516372044;17,28219945;1504,326724
35,5;798,0198335;3,351051007;16,2716727;2674,205167;35,5;597,9121411;2,515344115;17,28669816;1503,954785
36;797,8269586;3,351051007;16,27772331;2673,558833;36;597,7835579;2,516372044;17,29419564;1504,245834
36,5;797,7948128;3,348995147;16,28074849;2671,810957;36,5;597,8157037;2,516372044;17,29269618;1504,326724
37;797,7948128;3,346939288;16,28377359;2670,170803;37;597,8157037;2,515344115;17,27770058;1503,712212
37,5;797,8269586;3,350023077;16,29738549;2672,738723;37,5;597,7835579;2,515344115;17,28819769;1503,631354
38;798,0198335;3,345911358;16,29284838;2670,103625;38;597,8478495;2,515344115;17,28819769;1503,79307
38,5;797,8912503;3,352078937;16,28831108;2674,594454;38,5;597,7835579;2,516372044;17,28369904;1504,245834
39;797,8912503;3,350023077;16,2867986;2672,954101;39;597,9121411;2,515344115;17,2911967;1503,954785
39,5;798,0519793;3,348995147;16,29889782;2672,672206;39,5;597,6549746;2,514316185;17,29569508;1502,693576
40;797,9233961;3,347967217;16,29889782;2671,421372;40;597,6871204;2,514316185;17,28819769;1502,7744
40,5;797,8912503;3,348995147;16,30645916;2672,133925;40,5;597,8157037;2,515344115;17,2971945;1503,712212
41;797,8912503;3,348995147;16,30645916;2672,133925;41;597,8157037;2,516372044;17,2911967;1504,326724
41,5;797,9233961;3,348995147;16,30948356;2672,241581;41,5;597,7835579;2,516372044;17,29419564;1504,245834
42;797,8591044;3,346939288;16,31553209;2670,385983;42;597,7514121;2,516372044;17,29269618;1504,164943
42,5;797,8591044;3,351051007;16,31855623;2673,666555;42,5;597,7192662;2,515344115;17,29569508;1503,469639
43;797,8912503;3,346939288;16,31704417;2670,493573;43;597,6871204;2,515344115;17,30319201;1503,388781
43,5;797,8269586;3,347967217;16,32914008;2671,098503;43,5;597,7514121;2,515344115;17,30768996;1503,550496
44;797,8912503;3,351051007;16,32762816;2673,774277;44;597,6228288;2,515344115;17,3001933;1503,227065
44,5;797,8912503;3,346939288;16,32611622;2670,493573;44,5;597,7192662;2,516372044;17,29869391;1504,084052
45;797,8912503;3,346939288;16,33216385;2670,493573;45;597,590683;2,515344115;17,30469135;1503,146207
45,5;797,9876877;3,348995147;16,33669935;2672,456894;45,5;597,5585372;2,515344115;17,3001933;1503,06535
46;798,0841251;3,350023077;16,33669935;2673,600237;46;597,590683;2,515344115;17,30768996;1503,146207
46,5;797,9555419;3,346939288;16,34123466;2670,708753;46,5;597,7835579;2,516372044;17,30319201;1504,245834
47;797,9555419;3,353106866;16,33669935;2675,630206;47;597,590683;2,516372044;17,30918924;1503,760489
47,5;797,9233961;3,350023077;16,3442581;2673,061791;47,5;597,7514121;2,517399974;17,30918924;1504,779389
48;798,1484168;3,348995147;16,34274639;2672,995175;48;597,6549746;2,515344115;17,30619066;1503,307923
48,5;798,0841251;3,351051007;16,34576979;2674,420611;48,5;597,6549746;2,516372044;17,30918924;1503,92227
49;798,0519793;3,348995147;16,34879311;2672,672206;49;597,6228288;2,516372044;17,30619066;1503,841379
49,5;798,0841251;3,351051007;16,35332792;2674,420611;49,5;597,590683;2,516372044;17,30768996;1503,760489
50;798,0198335;3,347967217;16,35181634;2671,744242;50;597,6228288;2,516372044;17,31368696;1503,841379
50,5;797,9555419;3,346939288;16,35332792;2670,708753;50,5;597,590683;2,515344115;17,31218774;1503,146207
51;798,0519793;3,348995147;16,35483949;2672,672206;51;597,6228288;2,516372044;17,31668535;1503,841379
